index,topic,size_bytes,producer_timestamp,consumer_timestamp,consumer_delay_sec
5722234,synthetic_4,89,1750890511.4284508,1751154089.432369,263578.0039181709
5722244,synthetic_4,97,1750890511.5182648,1751154089.4323764,263577.9141116142
5722254,synthetic_4,97,1750890511.5185633,1751154089.4323843,263577.913820982
5722264,synthetic_4,105,1750890511.5188715,1751154089.432391,263577.9135193825
5722274,synthetic_4,96,1750890511.519178,1751154089.4323971,263577.9132192135
5722284,synthetic_4,90,1750890511.5194688,1751154089.4324038,263577.91293501854
5722294,synthetic_4,104,1750890511.5197628,1751154089.4324098,263577.9126470089
5722304,synthetic_4,83,1750890511.5200481,1751154089.4324164,263577.9123682976
6127304,synthetic_4,84,1750890511.4255092,1751154089.4324226,263578.00691342354
5722314,synthetic_4,80,1750890511.520324,1751154089.4324286,263577.9121046066
6127314,synthetic_4,98,1750890511.4256532,1751154089.4324353,263578.0067820549
6127324,synthetic_4,98,1750890511.4258015,1751154089.4324417,263578.00664019585
5722324,synthetic_4,83,1750890511.5206602,1751154089.432448,263577.91178774834
6127334,synthetic_4,101,1750890511.425945,1751154089.432454,263578.0065090656
6127344,synthetic_4,90,1750890511.4260857,1751154089.4324617,263578.00637602806
6127354,synthetic_4,83,1750890511.4262333,1751154089.432468,263578.00623464584
6127364,synthetic_4,83,1750890511.426372,1751154089.4324882,263578.0061161518
6127374,synthetic_4,84,1750890511.4265172,1751154089.4324946,263578.0059773922
6127384,synthetic_4,81,1750890511.4266691,1751154089.432501,263578.00583195686
6127394,synthetic_4,105,1750890511.4268193,1751154089.432507,263578.0056877136
6127404,synthetic_4,98,1750890511.4269717,1751154089.4325137,263578.0055420399
6127414,synthetic_4,103,1750890511.4271197,1751154089.4325202,263578.00540041924
6127424,synthetic_4,90,1750890511.427262,1751154089.4325266,263578.00526452065
6127434,synthetic_4,83,1750890511.4274101,1751154089.432535,263578.00512480736
6127444,synthetic_4,83,1750890511.4275477,1751154089.4325414,263578.00499367714
6127454,synthetic_4,98,1750890511.4276936,1751154089.4325478,263578.00485420227
6127464,synthetic_4,90,1750890511.4278457,1751154089.4325542,263578.0047085285
6127474,synthetic_4,96,1750890511.4279976,1751154089.4325619,263578.0045642853
6127484,synthetic_4,82,1750890511.42814,1751154089.4325686,263578.0044286251
6127494,synthetic_4,91,1750890511.4282877,1751154089.4325745,263578.00428676605
6127504,synthetic_4,97,1750890511.4284341,1751154089.4325807,263578.0041465759
6127514,synthetic_4,95,1750890511.5203047,1751154089.432587,263577.91228222847
6127524,synthetic_4,96,1750890511.520981,1751154089.4325933,263577.91161227226
6127534,synthetic_4,91,1750890511.5213306,1751154089.4325995,263577.9112689495
5722334,synthetic_4,80,1750890511.520923,1751154089.432606,263577.9116830826
5722344,synthetic_4,102,1750890511.5211766,1751154089.4326122,263577.9114356041
5722354,synthetic_4,89,1750890511.5214484,1751154089.4326189,263577.91117048264
6127544,synthetic_4,104,1750890511.5216076,1751154089.4326248,263577.9110171795
6127554,synthetic_4,84,1750890511.5220633,1751154089.4326313,263577.9105679989
5722364,synthetic_4,103,1750890511.5217075,1751154089.4326391,263577.9109315872
5722374,synthetic_4,97,1750890511.521984,1751154089.4326458,263577.9106616974
6127564,synthetic_4,91,1750890511.5223093,1751154089.4326522,263577.91034293175
5722384,synthetic_4,104,1750890511.522226,1751154089.4326584,263577.9104323387
5722394,synthetic_4,103,1750890511.5224512,1751154089.4326649,263577.9102137089
5722404,synthetic_4,87,1750890511.5227158,1751154089.4326713,263577.90995550156
5722414,synthetic_4,82,1750890511.522956,1751154089.432679,263577.90972304344
5722424,synthetic_4,84,1750890511.5231788,1751154089.432685,263577.90950608253
5722434,synthetic_4,90,1750890511.523424,1751154089.4326909,263577.9092669487
5722444,synthetic_4,89,1750890511.5236652,1751154089.4326973,263577.9090321064
5722454,synthetic_4,96,1750890511.5238976,1751154089.4327035,263577.90880584717
5722464,synthetic_4,88,1750890511.5241134,1751154089.4327097,263577.90859627724
5722474,synthetic_4,98,1750890511.5243142,1751154089.432716,263577.9084017277
6127574,synthetic_4,83,1750890511.5227292,1751154089.4327238,263577.9099946022
5722484,synthetic_4,84,1750890511.5245385,1751154089.43273,263577.9081914425
6127584,synthetic_4,97,1750890511.5229113,1751154089.432736,263577.90982460976
5722494,synthetic_4,97,1750890511.5247421,1751154089.432742,263577.90799999237
6127594,synthetic_4,95,1750890511.523138,1751154089.4327488,263577.9096107483
5722504,synthetic_4,104,1750890511.5249498,1751154089.4327552,263577.9078054428
5722514,synthetic_4,84,1750890511.5251486,1751154089.4327617,263577.907613039
5722524,synthetic_4,103,1750890511.525359,1751154089.4327676,263577.9074087143
5722534,synthetic_4,82,1750890511.525565,1751154089.4327743,263577.90720939636
5722544,synthetic_4,84,1750890511.5257752,1751154089.4327805,263577.90700531006
5722554,synthetic_4,91,1750890511.5259802,1751154089.4327865,263577.90680623055
5722564,synthetic_4,88,1750890511.5261836,1751154089.432793,263577.9066092968
5722574,synthetic_4,96,1750890511.52639,1751154089.4327993,263577.9064092636
6127604,synthetic_4,82,1750890511.523315,1751154089.4328067,263577.9094917774
6127614,synthetic_4,97,1750890511.5234962,1751154089.4328141,263577.9093179703
6127624,synthetic_4,95,1750890511.5236714,1751154089.4328206,263577.9091491699
5722584,synthetic_4,90,1750890511.5265965,1751154089.432827,263577.9062304497
5722594,synthetic_4,96,1750890511.526795,1751154089.432833,263577.9060380459
5722604,synthetic_4,97,1750890511.5269973,1751154089.4328392,263577.9058418274
5722614,synthetic_4,98,1750890511.5272114,1751154089.4328456,263577.9056341648
5722624,synthetic_4,91,1750890511.5274096,1751154089.432852,263577.9054424763
5722634,synthetic_4,89,1750890511.5276163,1751154089.4328582,263577.90524196625
5722644,synthetic_4,98,1750890511.5278242,1751154089.4328642,263577.9050400257
