pod,traffic_mode,topics,window_total,window_viol,msg_rate_window,lat_window_seconds,lat_count_window,lat_p95_ms,lat_p99_ms,cpu_percent,mem_percent,uptime_sec,total_lag,max_lag,lag_skew_ratio,consumed_total,file,t_bucket
consumer-sts-0,skew,B0-R100-20260224-010807_0,420,16,7.0,30.0,216,692.385,1485.101,6.3,14.6,3093.035,7.0,3.0,3.0,21796,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,3090
consumer-sts-0,skew,B0-R100-20260224-010807_0,440,15,7.333333,30.0,209,154.201,1614.27,7.2,14.7,3123.054,4.0,1.0,1.75,22005,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,3120
consumer-sts-0,skew,B0-R100-20260224-010807_0,442,34,7.366667,30.0,233,1472.205,1807.305,6.9,14.7,3153.084,6.0,2.0,2.333333,22238,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,3150
consumer-sts-0,skew,B0-R100-20260224-010807_0,428,33,7.133333,30.0,193,182.524,1247.579,7.0,14.6,3183.114,12.0,5.0,2.916667,22435,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,3180
consumer-sts-0,skew,B0-R100-20260224-010807_0,409,31,6.816667,30.0,200,905.217,1234.275,6.4,14.6,3213.145,6.0,3.0,3.5,22639,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,3210
consumer-sts-0,skew,B0-R100-20260224-010807_0,414,41,6.9,30.0,215,1276.231,1807.885,6.9,14.7,3243.174,4.0,3.0,5.25,22854,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,3240
consumer-sts-0,skew,B0-R100-20260224-010807_0,426,38,7.1,30.0,208,669.375,1136.405,6.5,14.7,3273.204,4.0,2.0,3.5,23065,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,3270
consumer-sts-0,skew,B0-R100-20260224-010807_0,411,16,6.85,30.0,199,634.959,915.752,7.0,14.6,3303.234,11.0,6.0,3.818182,23264,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,3300
consumer-sts-0,skew,B0-R100-20260224-010807_0,409,18,6.816667,30.0,210,995.71,1766.3,7.7,14.6,3333.263,7.0,2.0,2.0,23474,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,3330
consumer-sts-0,skew,B0-R100-20260224-010807_0,420,28,7.0,30.0,203,855.242,1589.562,7.3,14.6,3363.294,6.0,2.0,2.333333,23681,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,3360
consumer-sts-0,skew,B0-R100-20260224-010807_0,423,26,7.05,30.0,213,537.444,1024.297,6.4,14.6,3393.324,5.0,2.0,2.8,23894,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,3390
consumer-sts-0,skew,B0-R100-20260224-010807_0,429,15,7.15,30.0,215,451.401,1264.583,6.5,14.6,3423.354,5.0,2.0,2.8,24110,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,3420
consumer-sts-0,skew,B0-R100-20260224-010807_0,408,21,6.8,30.0,193,850.911,1270.134,6.5,14.6,3453.385,9.0,3.0,2.333333,24303,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,3450
consumer-sts-0,skew,B0-R100-20260224-010807_0,387,21,6.45,30.0,189,769.435,1560.219,6.8,14.6,3483.414,5.0,1.0,1.4,24493,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,3480
consumer-sts-0,skew,B0-R100-20260224-010807_0,409,11,6.816667,30.0,216,112.435,791.367,6.4,14.6,3513.444,2.0,1.0,3.5,24709,consumer_metrics_run-20260224-010807_consumer-sts-0.csv,3510
