index,delay_sec,size_bytes,recv_timestamp,sent_timestamp,topic
1900,0.17189693450927734,80,1748878489.7473073,1748878489.5754104,synth_0
1901,0.1655874252319336,94,1748878490.4126503,1748878490.247063,synth_1
1902,0.12848877906799316,88,1748878491.0411305,1748878490.9126418,synth_2
1903,0.12797760963439941,81,1748878491.6686184,1748878491.5406408,synth_3
1904,0.17212724685668945,94,1748878492.3409057,1748878492.1687784,synth_4
1905,0.1656184196472168,86,1748878493.0059214,1748878492.840303,synth_5
1906,0.1657242774963379,101,1748878493.6715457,1748878493.5058215,synth_6
1907,0.1659078598022461,86,1748878494.3376148,1748878494.171707,synth_7
1908,0.12859392166137695,93,1748878494.9658892,1748878494.8372953,synth_8
1909,0.12798309326171875,93,1748878495.5934963,1748878495.4655132,synth_9
1910,0.17164969444274902,81,1748878496.2650754,1748878496.0934258,synth_0
1911,0.16581392288208008,100,1748878496.9308898,1748878496.765076,synth_1
1912,0.1281299591064453,100,1748878497.5587919,1748878497.430662,synth_2
1913,0.1313464641571045,95,1748878498.190052,1748878498.0587056,synth_3
1914,0.1723034381866455,100,1748878498.8621051,1748878498.6898017,synth_4
1915,0.16591382026672363,102,1748878499.5276873,1748878499.3617735,synth_5
1916,0.1660616397857666,81,1748878500.193653,1748878500.0275915,synth_6
1917,0.16575074195861816,87,1748878500.859075,1748878500.6933243,synth_7
1918,0.12825679779052734,81,1748878501.4871414,1748878501.3588846,synth_8
1919,0.1284348964691162,94,1748878502.1155121,1748878501.9870772,synth_9
1920,0.17218446731567383,87,1748878502.7878673,1748878502.6156828,synth_0
1921,0.16608595848083496,101,1748878503.4534762,1748878503.2873902,synth_1
1922,0.1282939910888672,100,1748878504.0819132,1748878503.9536192,synth_2
1923,0.12834572792053223,85,1748878504.7100563,1748878504.5817106,synth_3
1924,0.17214751243591309,88,1748878505.3821197,1748878505.2099721,synth_4
1925,0.1659092903137207,100,1748878506.0479326,1748878505.8820233,synth_5
1926,0.16588926315307617,85,1748878506.713734,1748878506.5478446,synth_6
1927,0.16590332984924316,93,1748878507.379602,1748878507.2136986,synth_7
1928,0.12831997871398926,81,1748878508.0079496,1748878507.8796296,synth_8
1929,0.12866592407226562,92,1748878508.6364582,1748878508.5077922,synth_9
1930,0.17206335067749023,86,1748878509.3083577,1748878509.1362944,synth_0
1931,0.1663036346435547,91,1748878509.974461,1748878509.8081574,synth_1
1932,0.12871980667114258,94,1748878510.6032345,1748878510.4745147,synth_2
1933,0.1283707618713379,81,1748878511.231298,1748878511.1029272,synth_3
1934,0.1716766357421875,88,1748878511.9025424,1748878511.7308657,synth_4
1935,0.16583967208862305,95,1748878512.5682623,1748878512.4024227,synth_5
1936,0.16599655151367188,102,1748878513.2340431,1748878513.0680466,synth_6
1937,0.16570425033569336,81,1748878513.8995576,1748878513.7338533,synth_7
1938,0.12800812721252441,94,1748878514.527474,1748878514.3994658,synth_8
1939,0.12815523147583008,100,1748878515.1554718,1748878515.0273166,synth_9
