t_bucket,throughput,p99_pods_max_ms,p99_pods_med_ms,viol_rate,lag_skew_ratio,true_p99_ms,true_max_ms,true_viol_rate,hot_part_p99_ms,run_id,label,traffic_mode,skew_fraction,skew_partitions,hot_partition,hot_consumer
2460,,,,,,512687.5578045845,513555.5331707001,0.32558139534883723,513381.93809747696,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
2490,,,,,,521190.3214144707,521191.0467147827,0.44565217391304346,521190.79166412354,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
2520,,,,,,524633.9296913147,528333.8351249695,0.3246753246753247,527700.9565639496,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
2550,,,,,,532769.0503811836,532844.2826271057,0.4642857142857143,532823.4351372719,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
2580,,,,,,535848.4163093567,536069.0279006958,0.3582089552238806,536012.2037029266,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
2610,,,,,,545570.6166434288,545602.1902561188,0.4222222222222222,545592.2569847107,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
2640,,,,,,551578.9382839203,551584.3908786774,0.4470588235294118,551582.5084352493,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
2670,,,,,,558749.5718479156,558811.0678195953,0.31868131868131866,558799.4519138336,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
2700,274.166667,20577.939,1061.9975,0.3606686930091185,2.99071425,563146.1682319641,563155.9891700745,0.36363636363636365,563153.9216041565,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
2730,,,,,,568595.9608125687,568701.6670703888,0.34444444444444444,568676.7251443863,20260223_232437_skew,20260223_232437_skew | tm=skew sf=0.30 sp=0,skew,0.3,0,0,consumer-sts-0
